City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,klyuchi,52.2667,79.1667,37.69,92,99,9.28,RU,1699924209
83,dudinka,69.4058,86.1778,-6.52,90,8,7.83,RU,1699924034
84,saquarema,-22.92,-42.5103,76.44,86,96,5.97,BR,1699924208
85,san antonio,29.4241,-98.4936,64.15,82,100,11.5,US,1699923422
86,yuzhno-kurilsk,44.0306,145.8556,36.37,80,77,22.97,RU,1699924215
87,cidade velha,14.9167,-23.6167,79.27,57,0,12.66,CV,1699924215
88,phan rang-thap cham,11.5667,108.9833,80.85,77,92,7.61,VN,1699924215
89,longyearbyen,78.2186,15.6401,13.84,85,75,10.36,SJ,1699924037
90,pemangkat,1.1667,108.9667,81.3,81,71,5.86,ID,1699924216
91,martuni,40.1377,45.3045,47.48,60,78,8.21,AM,1699924216
92,choma,-16.8065,26.9531,70.21,41,64,5.97,ZM,1699924216
93,ar rutbah,33.0381,40.2848,67.44,30,95,8.21,IQ,1699924217
94,tiksi,71.6872,128.8694,4.69,93,100,5.84,RU,1699924217
95,derebucak,37.3918,31.5092,50.99,95,100,1.68,TR,1699924217
96,hammerfest,70.6634,23.6821,30.65,86,75,3.44,NO,1699924217
97,kone,-21.0595,164.8658,82.89,40,5,8.9,NC,1699924218
98,pangkalanbuun,-2.6833,111.6167,84.47,70,39,3.13,ID,1699924218
99,mandan,46.8267,-100.8896,49.95,58,0,9.22,US,1699923967
100,superior,46.7208,-92.1041,44.49,58,0,4.61,US,1699924218
101,papatowai,-46.5619,169.4708,63.64,47,53,11.5,NZ,1699924028
102,sidney,-33.8679,151.2073,84.34,63,20,16.11,AU,1699924158
103,ola,59.5833,151.2833,6.33,75,66,13.22,RU,1699924032
104,kodiak,57.79,-152.4072,42.31,49,20,18.41,US,1699924027
105,rudbar,30.15,62.6,61.81,35,100,1.21,AF,1699924219
106,cabo san lucas,22.8909,-109.9124,82.76,62,20,6.91,MX,1699923975
107,puerto aysen,-45.4,-72.7,37.44,98,100,5.5,CL,1699924220
108,atafu village,-8.5421,-172.5159,82.92,81,100,12.48,TK,1699924220
109,kalmunai,7.4167,81.8167,77.13,89,70,3.87,LK,1699924221
110,west wodonga,-36.1257,146.8486,67.75,100,100,4.12,AU,1699924221
111,taltal,-25.4,-70.4833,64.26,67,45,4.45,CL,1699924221
112,campanario,38.8644,-5.6174,56.57,85,42,0.96,ES,1699924221
113,tucuma,-0.1833,-50.05,79.27,80,99,8.01,BR,1699924222
114,al 'amarah,31.8406,47.1396,69.85,38,0,2.37,IQ,1699924222
115,pachino,36.7186,15.0907,64.65,62,0,3.18,IT,1699924222
